"action_id","pillar","source_section","action_summary","primary_persona","mapped_personas","mapping_note","source_url","status"
"act-011","Pillar 2","Foundational literacy to build an AI-skilled nation","Canada will create a National AI Literacy Initiative that will offer entry-level AI training accessible to all Canadians.","Student / Future Worker","Student / Future Worker; Workplace AI Adopter; Future Canadian","Broad literacy action, strongest fit with students and future workers.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20create%20a%20National%20AI%20Literacy%20Initiative%20that%20will%20offer%20entry-level%20AI%20training%20accessible%20to%20all%20Canadians.","captured"
"act-012","Pillar 2","Foundational literacy to build an AI-skilled nation","AI literacy content will reach 1 million entry level post-secondary students and train more than 3,000 educators with AI learning kits in their classrooms. Free, accessible AI learning will include practical courses and sector-relevant modules.","Student / Future Worker","Student / Future Worker; Future Canadian","Direct education pipeline action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=AI%20literacy%20content%20will%20reach%201%20million%20entry%20level%20post-secondary%20students%20and%20train%20more%20than%203%2C000%20educators%20with%20AI%20learning%20kits%20in%20their%20classrooms.%20Free%2C%20accessible%20AI%20learning%20will%20include%20practical%20courses%20and%20sector-relevant%20modules.","captured"
"act-013","Pillar 2","Foundational literacy to build an AI-skilled nation","Canada will ensure all post-secondary students have access to trusted AI agents, putting capable, personal AI tools in the hands of the next generation of Canadian workers, researchers, and innovators.","Student / Future Worker","Student / Future Worker","Directly maps to student tools and readiness.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20ensure%20all%20post-secondary%20students%20have%20access%20to%20trusted%20AI%20agents%2C%20putting%20capable%2C%20personal%20AI%20tools%20in%20the%20hands%20of%20the%20next%20generation%20of%20Canadian%20workers%2C%20researchers%2C%20and%20innovators.","captured"
"act-014","Pillar 2","Foundational literacy to build an AI-skilled nation","Through the National AI Literacy initiative, Canada will empower public libraries and community organizations, long trusted as hubs for learning, as natural partners to bring AI literacy initiatives into every community, especially those in rural, remote, and northern regions.","Future Canadian","Future Canadian; Student / Future Worker; Other","Community-access action that goes beyond a single user role.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Through%20the%20National%20AI%20Literacy%20initiative%2C%20Canada%20will%20empower%20public%20libraries%20and%20community%20organizations%2C%20long%20trusted%20as%20hubs%20for%20learning%2C%20as%20natural%20partners%20to%20bring%20AI%20literacy%20initiatives%20into%20every%20community%2C%20especially%20those%20in%20rural%2C%20remote%2C%20and%20northern%20regions.","captured"
"act-015","Pillar 2","Foundational literacy to build an AI-skilled nation","Canada is investing $50 million over five years through Budget 2025 to modernize the Job Bank with AI-powered job matching that automatically aligns people with opportunities matching their skills profiles and has launched a national online training platform connecting adults to free and low-cost short-duration courses, including sector-specific AI literacy skills.","Workplace AI Adopter","Workplace AI Adopter; Student / Future Worker; Future Canadian","Maps to career transition, job matching, and practical training access.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20is%20investing%20%2450%20million%20over%20five%20years%20through%20Budget%202025%20to%20modernize%20the%20Job%20Bank%20with%20AI-powered%20job%20matching%20that%20automatically%20aligns%20people%20with%20opportunities%20matching%20their%20skills%20profiles%20and%20has%20launched%20a%20national%20online%20training%20platform%20connecting%20adults%20to%20free%20and%20low-cost%20short-duration%20courses%2C%20including%20sector-specific%20AI%20literacy%20skills.","captured"
"act-016","Pillar 2","Foundational literacy to build an AI-skilled nation","Canada will invest $30 million in CanCode to fund not-for-profit organizations to deliver free digital skills training — including coding, AI, and emerging technologies — to youth from kindergarten to grade 12 and their educators, with emphasis on reaching underrepresented groups.","Student / Future Worker","Student / Future Worker; Future Canadian","Youth pipeline action for future workers.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20invest%20%2430%20million%20in%20CanCode%20to%20fund%20not-for-profit%20organizations%20to%20deliver%20free%20digital%20skills%20training%20%E2%80%94%20including%20coding%2C%20AI%2C%20and%20emerging%20technologies%20%E2%80%94%20to%20youth%20from%20kindergarten%20to%20grade%2012%20and%20their%20educators%2C%20with%20emphasis%20on%20reaching%20underrepresented%20groups.","captured"
"act-017","Pillar 2","Applied workforce skills driving AI adoption","Canada will create up to 90,000 AI-related job opportunities, including 45,000 through the Student Work Placement Program and Canada Summer Jobs, and 35,000 through other initiatives such as the Skills for Success Program, and 10,000 through the Mitacs ADOPT and AI+X programs.","Student / Future Worker","Student / Future Worker; Future Canadian; Workplace AI Adopter","Direct work-placement and early-career pathway action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20create%20up%20to%2090%2C000%20AI-related%20job%20opportunities%2C%20including%2045%2C000%20through%20the%20Student%20Work%20Placement%20Program%20and%20Canada%20Summer%20Jobs%2C%20and%2035%2C000%20through%20other%20initiatives%20such%20as%20the%20Skills%20for%20Success%20Program%2C%20and%2010%2C000%20through%20the%20Mitacs%20ADOPT%20and%20AI%2BX%20programs.","captured"
"act-018","Pillar 2","Applied workforce skills driving AI adoption","Canada will assess training and upskill offerings for mid-career workers, including in skilled trades, to scale-up employer-led training nationwide with a strong priority on AI-related skills. This will also include work with Colleges, CÉGEPs and Polytechnics as applied AI leaders to leverage regional reach, applied research capacity, and SME partnerships to deliver hands-on adoption and improve workforce productivity.","Workplace AI Adopter","Workplace AI Adopter; Student / Future Worker; Small Business Owner","Worker transition and employer-led training action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20assess%20training%20and%20upskill%20offerings%20for%20mid-career%20workers%2C%20including%20in%20skilled%20trades%2C%20to%20scale-up%20employer-led%20training%20nationwide%20with%20a%20strong%20priority%20on%20AI-related%20skills.%20This%20will%20also%20include%20work%20with%20Colleges%2C%20C%C3%89GEPs%20and%20Polytechnics%20as%20applied%20AI%20leaders%20to%20leverage%20regional%20reach%2C%20applied%20research%20capacity%2C%20and%20SME%20partnerships%20to%20deliver%20hands-on%20adoption%20and%20improve%20workforce%20productivity.","captured"
"act-019","Pillar 2","Applied workforce skills driving AI adoption","Canada will accelerate AI adoption across female-dominated sectors most exposed to early disruption through the existing Women’s Program — unlocking new economic opportunities, softening transition shocks, and confronting AI-fueled online abuse that disproportionately targets women.","Workplace AI Adopter","Workplace AI Adopter; Future Canadian; Other","Important equity and labour-transition action with a sector/gender lens.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20accelerate%20AI%20adoption%20across%20female-dominated%20sectors%20most%20exposed%20to%20early%20disruption%20through%20the%20existing%20Women%E2%80%99s%20Program%20%E2%80%94%20unlocking%20new%20economic%20opportunities%2C%20softening%20transition%20shocks%2C%20and%20confronting%20AI-fueled%20online%20abuse%20that%20disproportionately%20targets%20women.","captured"
"act-020","Pillar 2","Applied workforce skills driving AI adoption","Canada will track and assess the societal, labour market, and economic impacts of AI to guide policy and maximize benefits, leveraging Statistics Canada’s Artificial Intelligence and Technology Measurement Program.","Future Canadian","Future Canadian; Workplace AI Adopter; Concerned Canadian","Accountability and measurement action for public outcomes.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20track%20and%20assess%20the%20societal%2C%20labour%20market%2C%20and%20economic%20impacts%20of%20AI%20to%20guide%20policy%20and%20maximize%20benefits%2C%20leveraging%20Statistics%20Canada%E2%80%99s%20Artificial%20Intelligence%20and%20Technology%20Measurement%20Program.","captured"
"act-021","Pillar 2","Supporting Indigenous leadership in AI","Canada will support and amplify Indigenous-led AI initiatives that reinforce cultural expression and linguistic vitality in Canada and around the world, building on existing efforts such as the Indigenous Languages Program at Canadian Heritage, the Indigenous Languages Technology Program at the National Research Council, and First Languages AI Reality at Mila.","Other","Future Canadian; Concerned Canadian; Other","Cross-cutting Indigenous governance and cultural action; not reducible to one app persona.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20support%20and%20amplify%20Indigenous-led%20AI%20initiatives%20that%20reinforce%20cultural%20expression%20and%20linguistic%20vitality%20in%20Canada%20and%20around%20the%20world%2C%20building%20on%20existing%20efforts%20such%20as%20the%20Indigenous%20Languages%20Program%20at%20Canadian%20Heritage%2C%20the%20Indigenous%20Languages%20Technology%20Program%20at%20the%20National%20Research%20Council%2C%20and%20First%20Languages%20AI%20Reality%20at%20Mila.","captured"
"act-022","Pillar 2","Ensure AI reflects Canadian identity, culture, and inclusion","Canada will work on the adoption of tools that protect and promote the French language, including in Québec and in Canada’s vibrant Francophone minority communities. Critically, AI systems deployed within the government will perform equally well in both official languages.","Future Canadian","Future Canadian; Workplace AI Adopter; Other","Public-service, language, and inclusion action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20work%20on%20the%20adoption%20of%20tools%20that%20protect%20and%20promote%20the%20French%20language%2C%20including%20in%20Qu%C3%A9bec%20and%20in%20Canada%E2%80%99s%20vibrant%20Francophone%20minority%20communities.%20Critically%2C%20AI%20systems%20deployed%20within%20the%20government%20will%20perform%20equally%20well%20in%20both%20official%20languages.","captured"
"act-023","Pillar 2","Ensure AI reflects Canadian identity, culture, and inclusion","Canada will establish a $50 million Creative Technology Program to support Canadian creators in using AI on their own terms.","Other","Future Canadian; Other","Creator-focused action; maps to Other because the creator persona was removed.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20establish%20a%20%2450%20million%20Creative%20Technology%20Program%20to%20support%20Canadian%20creators%20in%20using%20AI%20on%20their%20own%20terms.","captured"
"act-024","Pillar 2","Ensure AI reflects Canadian identity, culture, and inclusion","Canada will promote the world’s first AI equity-based national standard on accessible AI to drive inclusive and accessible AI and remove accessibility barriers from AI systems, and ensure Canadian AI reflects the Accessible Canada Act principles.","Future Canadian","Future Canadian; Concerned Canadian; Other","Inclusion, accessibility, and public benefit action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20promote%20the%20world%E2%80%99s%20first%20AI%20equity-based%20national%20standard%20on%20accessible%20AI%20to%20drive%20inclusive%20and%20accessible%20AI%20and%20remove%20accessibility%20barriers%20from%20AI%20systems%2C%20and%20ensure%20Canadian%20AI%20reflects%20the%20Accessible%20Canada%20Act%20principles.","captured"
"act-025","Pillar 2","Ensure AI reflects Canadian identity, culture, and inclusion","The Government of Canada commits to applying Gender-Based Analysis Plus in a meaningful way across policy design, skills development, innovation, and governance to ensure that AI reflects our values, protects those most impacted, and leads to outcomes that are safe, inclusive, and beneficial for all Canadians.","Future Canadian","Future Canadian; Concerned Canadian; Workplace AI Adopter; Other","Cross-cutting equity lens for policy and implementation.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=The%20Government%20of%20Canada%20commits%20to%20applying%20Gender-Based%20Analysis%20Plus%20in%20a%20meaningful%20way%20across%20policy%20design%2C%20skills%20development%2C%20innovation%2C%20and%20governance%20to%20ensure%20that%20AI%20reflects%20our%20values%2C%20protects%20those%20most%20impacted%2C%20and%20leads%20to%20outcomes%20that%20are%20safe%2C%20inclusive%2C%20and%20beneficial%20for%20all%20Canadians.","captured"
"act-026","Pillar 3","Accelerating AI adoption across Canadian SMEs","Canada will utilize the LIFT program, a $500 million initiative from the Business Development Bank of Canada (BDC) to help Canadian SMEs access financing to incorporate AI tools in their operations.","Small Business Owner","Small Business Owner","Direct SME financing action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20utilize%20the%20LIFT%20program%2C%20a%20%24500%20million%20initiative%20from%20the%20Business%20Development%20Bank%20of%20Canada%20(BDC)%20to%20help%20Canadian%20SMEs%20access%20financing%20to%20incorporate%20AI%20tools%20in%20their%20operations.","captured"
"act-027","Pillar 3","Accelerating AI adoption across Canadian SMEs","Canada will invest $500 million to expand and enhance the Regional Artificial Intelligence Initiative delivered through Regional Development Agencies to accelerate adoption and commercialization of AI across the country.","Small Business Owner","Small Business Owner; AI Entrepreneur; Future Canadian","Regional adoption and commercialization support.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20invest%20%24500%20million%20to%20expand%20and%20enhance%20the%20Regional%20Artificial%20Intelligence%20Initiative%20delivered%20through%20Regional%20Development%20Agencies%20to%20accelerate%20adoption%20and%20commercialization%20of%20AI%20across%20the%20country.","captured"
"act-028","Pillar 3","Accelerating AI adoption across Canadian SMEs","Canada will support the development of an AI Literacy and Adoption Assessment tool and other online resources that help SMEs and entrepreneurs assess their AI readiness, identify practical use cases, understand potential business impacts in a low-risk environment, and connect with critical programs and development agencies.","Small Business Owner","Small Business Owner; Workplace AI Adopter","Practical adoption guidance for owners and teams.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20support%20the%20development%20of%20an%20AI%20Literacy%20and%20Adoption%20Assessment%20tool%20and%20other%20online%20resources%20that%20help%20SMEs%20and%20entrepreneurs%20assess%20their%20AI%20readiness%2C%20identify%20practical%20use%20cases%2C%20understand%20potential%20business%20impacts%20in%20a%20low-risk%20environment%2C%20and%20connect%20with%20critical%20programs%20and%20development%20agencies.","captured"
"act-029","Pillar 3","Accelerating AI adoption across Canadian SMEs","Canada will provide targeted support to strengthen AI adoption among Canadian entrepreneurs through the Small Business and Entrepreneurship Development Program.","Small Business Owner","Small Business Owner; AI Entrepreneur","Entrepreneurship and adoption support.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20provide%20targeted%20support%20to%20strengthen%20AI%20adoption%20among%20Canadian%20entrepreneurs%20through%20the%20Small%20Business%20and%20Entrepreneurship%20Development%20Program.","captured"
"act-030","Pillar 3","Accelerating AI adoption across Canadian SMEs","Canada will leverage the SR&ED tax credit and the Productivity Super-Deduction announced in Budget 2025 to catalyze private sector investment and make innovation more affordable.","Small Business Owner","Small Business Owner; AI Entrepreneur","Tax and investment incentive action for business adoption and innovation.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20leverage%20the%20SR%26ED%20tax%20credit%20and%20the%20Productivity%20Super-Deduction%20announced%20in%20Budget%202025%20to%20catalyze%20private%20sector%20investment%20and%20make%20innovation%20more%20affordable.","captured"
"act-031","Pillar 3","Solving national challenges through AI missions","Canada will launch a new AI Missions Program to advance targeted, high-impact projects that deliver significant public good and demonstrate meaningful improvements in Canadians' lives. The first mission will commit $200 million to improving health outcomes for Canadians. More missions will follow in other priority sectors.","Future Canadian","Future Canadian; Concerned Canadian; AI Entrepreneur","Public-good mission action with health as the first visible benefit area.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20launch%20a%20new%20AI%20Missions%20Program%20to%20advance%20targeted%2C%20high-impact%20projects%20that%20deliver%20significant%20public%20good%20and%20demonstrate%20meaningful%20improvements%20in%20Canadians'%20lives.%20The%20first%20mission%20will%20commit%20%24200%20million%20to%20improving%20health%20outcomes%20for%20Canadians.%20More%20missions%20will%20follow%20in%20other%20priority%20sectors.","captured"
"act-032","Pillar 3","Solving national challenges through AI missions","Canada will launch sector-specific Workforce Alliances across six priority sectors to bring together governments, employers, unions, post-secondary institutions, and Indigenous partners to identify skills gaps, coordinate talent pipelines, and align public-private investment with workforce transformation needs across essential economic sectors.","Workplace AI Adopter","Workplace AI Adopter; Student / Future Worker; Future Canadian","Workforce coordination action across sectors.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20launch%20sector-specific%20Workforce%20Alliances%20across%20six%20priority%20sectors%20to%20bring%20together%20governments%2C%20employers%2C%20unions%2C%20post-secondary%20institutions%2C%20and%20Indigenous%20partners%20to%20identify%20skills%20gaps%2C%20coordinate%20talent%20pipelines%2C%20and%20align%20public-private%20investment%20with%20workforce%20transformation%20needs%20across%20essential%20economic%20sectors.","captured"
"act-033","Pillar 3","Transforming Public Service Delivery with AI","Canada will accelerate the procurement and delivery of AI solutions across the federal government through the Office of Digital Transformation.","Workplace AI Adopter","Workplace AI Adopter; AI Entrepreneur; Future Canadian","Public-service implementation and government buyer action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20accelerate%20the%20procurement%20and%20delivery%20of%20AI%20solutions%20across%20the%20federal%20government%20through%20the%20Office%20of%20Digital%20Transformation.","captured"
"act-034","Pillar 3","Transforming Public Service Delivery with AI","Canada will launch the Prime Minister’s Innovation Fellows Program to recruit and deploy technical talent that rapidly builds the internal muscle, operational capacity, and commercial fluency required to procure, evaluate, and deploy AI systems effectively within government.","Workplace AI Adopter","Workplace AI Adopter; AI Entrepreneur; Future Canadian","Public-sector talent and delivery-capacity action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20launch%20the%20Prime%20Minister%E2%80%99s%20Innovation%20Fellows%20Program%20to%20recruit%20and%20deploy%20technical%20talent%20that%20rapidly%20builds%20the%20internal%20muscle%2C%20operational%20capacity%2C%20and%20commercial%20fluency%20required%20to%20procure%2C%20evaluate%2C%20and%20deploy%20AI%20systems%20effectively%20within%20government.","captured"
"act-035","Pillar 4","Sovereign compute, cloud, and connectivity","Canada will build a world-leading public supercomputer, giving Canadian researchers and SMEs access to secure, sovereign, high-performance compute for cutting-edge public and industry-driven innovation.","AI Entrepreneur","AI Entrepreneur; Small Business Owner; Future Canadian","Compute access is a core founder and commercialization need.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20build%20a%20world-leading%20public%20supercomputer%2C%20giving%20Canadian%20researchers%20and%20SMEs%20access%20to%20secure%2C%20sovereign%2C%20high-performance%20compute%20for%20cutting-edge%20public%20and%20industry-driven%20innovation.","captured"
"act-036","Pillar 4","Sovereign compute, cloud, and connectivity","Canada will leverage government and industrial AI workloads and crowd-in private capital to significantly expand sovereign compute and cloud infrastructure. This will support the construction of large‑scale AI data centres that can scale to at least 100 megawatts (MW), and that are designed to serve a broad spectrum of Canadian clients. These partnerships are being finalized, and have proposed providing 850 MW of compute capacity by 2030, with scaling capacity of up to 2.3 GW with corresponding investments in the tens of billions.","Future Canadian","Future Canadian; AI Entrepreneur; Small Business Owner; Concerned Canadian","Infrastructure action with public-benefit, sovereignty, and business-access implications.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20leverage%20government%20and%20industrial%20AI%20workloads%20and%20crowd-in%20private%20capital%20to%20significantly%20expand%20sovereign%20compute%20and%20cloud%20infrastructure.%20This%20will%20support%20the%20construction%20of%20large%E2%80%91scale%20AI%20data%20centres%20that%20can%20scale%20to%20at%20least%20100%20megawatts%20(MW)%2C%20and%20that%20are%20designed%20to%20serve%20a%20broad%20spectrum%20of%20Canadian%20clients.%20These%20partnerships%20are%20being%20finalized%2C%20and%20have%20proposed%20providing%20850%20MW%20of%20compute%20capacity%20by%202030%2C%20with%20scaling%20capacity%20of%20up%20to%202.3%20GW%20with%20corresponding%20investments%20in%20the%20tens%20of%20billions.","captured"
"act-037","Pillar 4","Sovereign compute, cloud, and connectivity","Canada will expand diverse high-capacity fibre lines and satellite connectivity, resulting in resilient network infrastructure with sovereign capabilities.","Other","Future Canadian; Small Business Owner; Other","Connectivity infrastructure action that mostly sits below the persona layer.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20expand%20diverse%20high-capacity%20fibre%20lines%20and%20satellite%20connectivity%2C%20resulting%20in%20resilient%20network%20infrastructure%20with%20sovereign%20capabilities.","captured"
"act-038","Pillar 4","Sovereign compute, cloud, and connectivity","Canada will further enhance and secure its chip design and fabrication capabilities, building on the recent announcement to spin off the National Research Council’s Photonics Fabrication Centre.","Other","AI Entrepreneur; Other","Hardware supply-chain action with limited direct persona fit.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20further%20enhance%20and%20secure%20its%20chip%20design%20and%20fabrication%20capabilities%2C%20building%20on%20the%20recent%20announcement%20to%20spin%20off%20the%20National%20Research%20Council%E2%80%99s%20Photonics%20Fabrication%20Centre.","captured"
