receipt_id,perspective_ids,source_title,source_type,source_date,source_url,source_section,claim_supported,evidence_note,coverage_level,policy_force,app_use,status
r025,eu-comparator-hard-rules,European Commission: AI Act,comparator,current,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,Risk-based AI framework,"Supports EU comparison as hard-law model.","EU AI Act creates binding risk-based obligations and transparency duties.",Strong,Hard,"Comparator layer",captured
r026,singapore-comparator-playbooks,Singapore Gen AI and Digital FOSS AI Governance Playbook,comparator,2024,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/factsheets/2024/gen-ai-and-digital-foss-ai-governance-playbook,Governance playbook,"Supports Singapore comparison as practical implementation model.","Singapore emphasizes operational governance tools and playbooks.",Strong,Directional,"Comparator layer",captured
r027,compare-workplace-ai; compare-public-sector-ai,UK AI regulation: a pro-innovation approach,comparator,current,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach,Regulator-led framework,"Supports UK comparison as sector-regulator model.","UK uses existing regulators and cross-cutting principles rather than one horizontal AI law.",Strong,Directional,"Comparator layer",captured
r028,compare-trust-safety; compare-small-business-adoption; compare-workplace-ai,NIST AI Risk Management Framework,comparator,current,https://www.nist.gov/itl/ai-risk-management-framework,Trustworthy AI risk management,"Supports NIST as practical organizational risk-management comparator.","NIST provides voluntary map-measure-manage-govern risk practices.",Strong,Directional,"Comparator layer",captured
r029,compare-public-sector-ai; compare-health-care; compare-procurement-anchor,OMB government-wide AI governance policy,comparator,2024-03-28,https://www.whitehouse.gov/omb/briefing-room/2024/03/28/omb-issues-government-wide-policy-to-advance-governance-innovation-and-risk-management-in-federal-agencies-use-of-artificial-intelligence/,Federal agency AI use,"Supports U.S. public-sector AI governance comparison.","OMB sets federal agency-level requirements for governance, innovation, and risk management.",Strong,Hard,"Public-sector comparator",captured
r030,compare-small-business-adoption; compare-workplace-ai; compare-trust-safety,Australia Voluntary AI Safety Standard,comparator,2024,https://www.industry.gov.au/publications/voluntary-ai-safety-standard,AI guardrails,"Supports Australia as plain-language guardrail comparator.","Australia translates responsible AI into organizational guardrails.",Strong,Directional,"Comparator layer",captured
r031,compare-small-business-adoption; compare-real-economy,Japan AI Guidelines for Business,comparator,2024-04-19,https://www.meti.go.jp/english/press/2024/0419_002.html,Business AI governance,"Supports Japan as business-facing governance comparator.","Japan gives lifecycle-oriented company guidance without EU-style horizontal hard law.",Strong,Directional,"Business comparator",captured
r032,compare-founder-scale; compare-prosperity; compare-ip-copyright,France national strategy for artificial intelligence,comparator,current,https://www.entreprises.gouv.fr/fr/numerique/enjeux/la-strategie-nationale-pour-l-ia,France 2030 and AI strategy,"Supports France as industrial-policy and national-champion comparator.","France mixes research, talent, compute, strategic sectors, and national AI champions.",Strong,"Funded; Directional","Industrial strategy comparator",captured
r033,compare-founder-scale; compare-prosperity,South Korea AI Basic Act,comparator,2025,https://www.korea.net/NewsFocus/policies/view?articleId=286183&pageIndex=1,AI law and industry development,"Supports South Korea as law-plus-industrial-strategy comparator.","South Korea combines AI industry development with trust and safety architecture.",Strong,Hard,"Industrial/legal comparator",captured
r034,compare-student-skills; compare-founder-scale; compare-prosperity,IndiaAI Mission,comparator,2024,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2012375,"Compute, datasets, skills, startups","Supports India as mission, compute, skills, and public-good AI comparator.","IndiaAI Mission focuses on compute, datasets, skills, startup financing, and public-benefit AI.",Strong,Funded,"Mission comparator",captured
r035,compare-public-sector-ai; compare-inclusion-culture; compare-data-centres,Sweden's AI Strategy,comparator,2026,https://www.government.se/information-material/2026/02/swedens-ai-strategy/,Public administration and infrastructure,"Supports Sweden as Nordic welfare-state and infrastructure comparator.","Sweden emphasizes public administration, responsible AI, secure infrastructure, language models, and energy-aware competitiveness.",Strong,Directional,"Nordic comparator",captured
r036,compare-health-care; compare-inclusion-culture,Norway National Strategy for Artificial Intelligence,comparator,2020,https://www.regjeringen.no/en/documents/nasjonal-strategi-for-kunstig-intelligens/id2685594/,"Public-sector AI, data and language","Supports Norway as public-service, data, and language-resource comparator.","Norway connects AI with responsible use, data, language resources, infrastructure, and public-sector modernization.",Strong,Directional,"Nordic comparator",captured
r037,compare-public-sector-ai,Finland AuroraAI programme,comparator,2018,https://valtioneuvosto.fi/en/-/10623/the-auroraai-national-artificial-intelligence-programme-begins-with-the-aim-of-using-artificial-intelligence-to-bring-people-and-services-together-in-a-better-way,Life-event public services,"Supports Finland as citizen-service delivery comparator.","AuroraAI aims to connect people with public services around life events.",Strong,Funded,"Public-service comparator",captured
r038,compare-trust-safety; compare-children-online-safety,China generative AI measures,comparator,2023,https://www.loc.gov/item/global-legal-monitor/2023-07-18/china-generative-ai-measures-finalized/,Public-facing generative AI services,"Supports China as strict content/service-control contrast case.","China's measures address public-facing GenAI services, content governance, and provider responsibility under a different political model.",Strong,Hard,"Contrast comparator",captured
r039,compare-privacy-rights; compare-inclusion-culture; compare-ip-copyright,OECD AI Principles,comparator,current,https://www.oecd.org/en/topics/ai-principles.html,International trustworthy AI baseline,"Supports OECD as global norm baseline.","OECD principles cover inclusive growth, human rights, transparency, robustness, and accountability.",Strong,Directional,"Global norms comparator",captured
r040,compare-children-online-safety; compare-ip-copyright; compare-inclusion-culture,UNESCO Recommendation on the Ethics of AI,comparator,2021,https://www.unesco.org/en/articles/recommendation-ethics-artificial-intelligence?hub=66973,"Ethics, culture, education and rights","Supports UNESCO as rights, culture, education, and environment comparator.","UNESCO covers human rights, education, culture, gender, environment, and social wellbeing.",Strong,Directional,"Global norms comparator",captured
r041,compare-trust-safety; compare-founder-scale,G7 Hiroshima AI Process,comparator,current,https://transparency.oecd.ai/,Advanced AI voluntary code reporting,"Supports G7/OECD as advanced-AI voluntary-code comparator.","The Hiroshima AI Process provides a voluntary code and reporting frame for advanced AI developers.",Strong,Directional,"Advanced AI comparator",captured
r042,compare-workplace-ai; compare-privacy-rights,Colorado Consumer Protections for Artificial Intelligence,comparator,2024,https://leg.colorado.gov/bills/sb24-205,High-risk AI and consequential decisions,"Supports Colorado as North American high-risk decision law comparator.","Colorado's AI Act addresses algorithmic discrimination, documentation, and consumer protections for high-risk AI.",Strong,Hard,"Workplace/consequential decision comparator",captured
r043,compare-workplace-ai,New York City Automated Employment Decision Tools law,comparator,current,https://www.nyc.gov/site/dca/about/automated-employment-decision-tools.page,Hiring tools and bias audits,"Supports NYC as narrow workplace AI law comparator.","NYC requires bias audits and candidate notice for covered automated employment decision tools.",Strong,Hard,"Workplace AI comparator",captured
